week_ending,player_id,overall_mean,overall_sd,hard_mean,hard_sd,clay_mean,clay_sd,grass_mean,grass_sd
2026-05-10,KdojxrAR,2.814058913,0.1376210012,2.942139455,0.1431328123,2.77405922,0.134711549,2.725978065,0.151318039
2026-05-10,lI6fOOat,2.713998102,0.1270292904,2.768818844,0.1384166072,2.831466578,0.1215467677,2.541708886,0.1542364563
2026-05-17,vyhksgUB,3.776612711,0.1530691557,3.886579344,0.1574057435,3.766887976,0.1516522043,3.676370812,0.164431727
2026-05-17,UDzElXdm,3.460863301,0.1334866448,3.476209967,0.1404675502,3.406490589,0.1304125671,3.499889347,0.1452148091
2026-05-17,jNyZsXZe,3.308010644,0.1308763316,3.337641622,0.1367513177,3.564518869,0.1279692194,3.021871442,0.1438461339
2026-05-17,f5BXmEH6,2.999991345,0.1225159553,3.023316915,0.130274403,2.94500721,0.1187652664,3.03164991,0.1369539404
2026-05-17,lI6fOOat,2.76832108,0.1342699861,2.823432151,0.1459976077,2.885511714,0.1282301352,2.596019374,0.1600872358
2026-05-17,KdojxrAR,2.758601308,0.136724058,2.886912568,0.1427949982,2.71841403,0.1332058618,2.670477325,0.1505206999
2026-05-24,vyhksgUB,3.828242382,0.1686031384,3.935765744,0.1726299713,3.820776029,0.1672287929,3.728185373,0.1789822627
2026-05-24,UDzElXdm,3.505994892,0.1514084519,3.519669707,0.1576494008,3.453073127,0.1486421208,3.545241843,0.1618456935
2026-05-24,jNyZsXZe,3.349810337,0.1493872044,3.377762855,0.1545991089,3.607810922,0.1467976817,3.063857235,0.1608745881
2026-05-24,f5BXmEH6,3.066131492,0.1418403105,3.086759862,0.1486539133,3.013611006,0.1385400723,3.098023608,0.1544849517
2026-05-24,lI6fOOat,2.900899694,0.139842882,2.951696594,0.1516546836,3.021582345,0.1335356347,2.729420143,0.1647147431
2026-05-24,KdojxrAR,2.802618253,0.1545220721,2.929506811,0.1599561904,2.764021573,0.1513678799,2.714326375,0.1668578834
2026-05-31,vyhksgUB,3.830390258,0.1839698365,3.937776198,0.1876686224,3.823005795,0.1827098384,3.730388782,0.1935263318
2026-05-31,UDzElXdm,3.525534597,0.1574933736,3.538694442,0.1636902157,3.473104397,0.1546513231,3.564804953,0.167537018
2026-05-31,jNyZsXZe,3.359111461,0.1664158663,3.386786649,0.1711154438,3.617398429,0.164089474,3.073149304,0.1768000766
2026-05-31,f5BXmEH6,3.084902134,0.1596721753,3.104996155,0.1657627789,3.032887601,0.1567385923,3.116822647,0.1710030642
2026-05-31,lI6fOOat,2.92016937,0.1578591792,2.970370044,0.1684314129,3.041371096,0.1522814139,2.74876697,0.1802584012
2026-05-31,KdojxrAR,2.799141169,0.1708883972,2.926118105,0.175827742,2.760474543,0.168030393,2.710830859,0.182119022
2026-06-07,vyhksgUB,3.835404372,0.1980934839,3.942581841,0.2015366047,3.828057845,0.1969247331,3.73557343,0.2069932589
