match_id,match_date,player_1_won,probability_peak_22,probability_peak_24,probability_peak_26,probability_peak_28
M7vBd3pb,2024-01-14,0,0.3973789982,0.3966704847,0.4003874468,0.4042515897
rFvLEwTf,2024-01-14,0,0.03384436892,0.03298811835,0.03085886115,0.03008269888
Y5Q1nJMj,2024-01-14,1,0.3559128434,0.3525903548,0.3482072451,0.3492404284
E13lAMEc,2024-01-14,1,0.887037651,0.8924191745,0.8965762959,0.8983210226
dQlSbmCD,2024-01-14,0,0.52209946,0.509851333,0.5097295758,0.5095864223
ltJYlCrk,2024-01-14,0,0.4728594975,0.4736643375,0.4806158849,0.4800570497
tAAkUISs,2024-01-14,1,0.629905536,0.6295467978,0.6272239226,0.627274263
z9g7Mj4K,2024-01-14,1,0.57935379,0.581332549,0.5730355171,0.577021173
jurTCHc7,2024-01-14,1,0.2293205663,0.2398656884,0.2227207401,0.2226558635
tlJyr4V4,2024-01-14,0,0.05837524299,0.05748939756,0.05845416422,0.05919522875
IZkOaTd7,2024-01-14,1,0.3858867579,0.4009943584,0.395531744,0.3929089714
vqk6cqVi,2024-01-14,0,0.6394040494,0.6392819632,0.6426079762,0.6436178348
0hj2bPFo,2024-01-14,1,0.4715708436,0.4706878616,0.4686056054,0.4680785173
tpufRGC0,2024-01-14,0,0.4034830701,0.3953364614,0.3959505443,0.4251171964
6ipwHURs,2024-01-14,1,0.4297838338,0.4252243119,0.4381253817,0.4385580004
0I1d80qA,2024-01-14,1,0.6530861919,0.638571178,0.6399081077,0.6422882708
lGZsGlsl,2024-01-14,1,0.5761277549,0.578288289,0.5795971994,0.5562218767
zB4pB2ai,2024-01-14,0,0.4396464359,0.4395101603,0.4427879348,0.4257778394
ATAhvMUT,2024-01-14,0,0.2111855414,0.2094644288,0.210723716,0.2188560587
x2aTAg58,2024-01-14,1,0.4946707318,0.4931509711,0.4936418296,0.4976099066
SpcB2VCl,2024-01-14,0,0.3141454888,0.316257471,0.3267999226,0.3140399101
nNujSdcf,2024-01-15,0,0.7223891175,0.7325649005,0.7423132182,0.7464024629
A9nG1kSf,2024-01-15,1,0.2704278702,0.2692437954,0.2695484059,0.2606454308
lGoCGabr,2024-01-15,1,0.821674489,0.8133406794,0.80727012,0.8077583978
K2Mcma7p,2024-01-15,0,0.2924124129,0.293906665,0.2947843411,0.2774976252
dtwjESB0,2024-01-15,0,0.3392917926,0.3407085475,0.3114794459,0.3271548579
rsi17KbG,2024-01-15,0,0.6520640016,0.6516407597,0.6519280637,0.6629552608
CxcKZuwo,2024-01-15,1,0.7960148282,0.7957500357,0.7950033091,0.7958341541
v1ONYbKQ,2024-01-15,1,0.7133920305,0.7139652981,0.7271777546,0.7290234954
zXyfDnR6,2024-01-15,1,0.447568754,0.4484009146,0.435649828,0.4302901162
IB7y9XZK,2024-01-15,0,0.3787049998,0.3900455492,0.3862883025,0.378723754
M5wPDcr1,2024-01-15,1,0.6108301259,0.6117305394,0.6132003273,0.6115224086
UVhBLAJQ,2024-01-15,1,0.6355402925,0.6345737036,0.6342477861,0.6375157482
WzLFzLkE,2024-01-15,0,0.365014262,0.3631943509,0.3678780198,0.3882888275
ERnuqpGb,2024-01-15,1,0.8711945166,0.882070488,0.8764928466,0.8749318137
E1Hqtr0H,2024-01-15,1,0.556200059,0.5679345596,0.5799256524,0.5947874486
d26u8ikR,2024-01-15,1,0.6045877121,0.6008007441,0.6014085968,0.6028597812
fJJUkhTr,2024-01-15,0,0.4261605474,0.4280121861,0.4241682337,0.4241056096
zmIW9DKE,2024-01-15,0,0.3911973547,0.3941832634,0.4038391149,0.4146147882
ObBonAS7,2024-01-15,0,0.5833015046,0.5898160018,0.5979644778,0.5507806723
IeRbC6tD,2024-01-15,0,0.3079887132,0.3015825211,0.3014856899,0.2969113458
OWzShLqN,2024-01-15,0,0.5388547255,0.5370692468,0.5363071776,0.5420210721
p8CsmjD1,2024-01-15,1,0.4891587465,0.4873790307,0.4840273913,0.4852396489
EL7qsw31,2024-01-16,1,0.5797126925,0.5765288301,0.5696995847,0.5916919937
KvIusOpB,2024-01-16,1,0.8044171156,0.8034244436,0.7979879249,0.8033531645
S6YoF8df,2024-01-16,1,0.7246075279,0.7235945939,0.7199901657,0.7195163222
S4Lmu2FN,2024-01-16,1,0.811422554,0.8132485321,0.8159593424,0.8155500705
SWHxlWce,2024-01-16,1,0.518101648,0.5198487285,0.525135545,0.5321960074
lfb73Bcr,2024-01-16,0,0.6291096145,0.6331119479,0.6370704432,0.6388378583
pvPJZv5K,2024-01-16,0,0.1166069611,0.1161733572,0.1159327596,0.1155302953
YL82VgHS,2024-01-16,0,0.6957136088,0.6984152485,0.7030184544,0.705607909
Ms1Hn7xj,2024-01-16,0,0.4564278005,0.4624096222,0.4620500344,0.4599230525
hKxwga6h,2024-01-16,0,0.5295606919,0.530844191,0.531435347,0.5326000181
vTQUVBxM,2024-01-16,0,0.7400283917,0.7251942686,0.7242276934,0.7244404216
CntZOKiC,2024-01-16,0,0.06916955044,0.06836669805,0.07025398948,0.07112402807
naXnLfO3,2024-01-16,0,0.2068144826,0.2065632997,0.2078606759,0.2022620873
Ghvc8gec,2024-01-16,0,0.5545990806,0.5651756409,0.5627177228,0.5624470329
YXbrZ4FJ,2024-01-16,1,0.7056345998,0.7101811966,0.7063068678,0.7015064136
hQPnhNFL,2024-01-16,0,0.2942528957,0.2940939397,0.2937337436,0.2864180728
bDHiOdKp,2024-01-16,1,0.3635148191,0.347111286,0.3475857916,0.345688983
dxoGXAjS,2024-01-17,0,0.6755248915,0.6735314939,0.6737518592,0.6709084107
ATQ2sC0A,2024-01-17,1,0.5022258302,0.4994927746,0.5143627599,0.5259148236
jDeuSloH,2024-01-17,0,0.1157813433,0.1162924957,0.1131605825,0.1122649321
lnWoiwy5,2024-01-17,1,0.5695305639,0.5696071145,0.5617213441,0.5621328082
GbN2mezU,2024-01-17,1,0.4634884271,0.4653681039,0.462761409,0.459492084
WIgO6b4n,2024-01-17,0,0.8682365269,0.8678807505,0.8684207728,0.8681957725
Ec9VqaN1,2024-01-17,0,0.2741914504,0.2765076462,0.268845955,0.2722022838
WAyshJLb,2024-01-17,0,0.2782736704,0.2816882789,0.2799067286,0.286273376
hpAd4lgn,2024-01-17,1,0.8507303386,0.8567841347,0.8583735335,0.8578785076
SOTprbxp,2024-01-17,1,0.3510125413,0.3505164192,0.3483251347,0.3593808769
I79UrFro,2024-01-17,0,0.3446914362,0.3461321559,0.3485784889,0.3412500545
Wb3qrcaJ,2024-01-17,1,0.2090532383,0.2147592019,0.2161051729,0.2181122773
jsqvVE2Q,2024-01-17,1,0.395344931,0.394052361,0.3949529177,0.3909326528
Y33VFL3D,2024-01-18,1,0.7724119361,0.7701397796,0.7678606824,0.7587085145
8U1zQjd3,2024-01-18,1,0.6965473241,0.6882952901,0.6903221438,0.691890316
4MxRQtNa,2024-01-18,1,0.7968439422,0.796731196,0.7943324515,0.7929288275
